Sample,Slice#,Frac_601(2),Frac_602(2)
522(2),21,0.005805468350446153,0.9941945316495537
522(2),22,0.005880017361392156,0.9941199826386078
522(2),23,0.004737078021580439,0.9952629219784196
522(2),24,0.008533463284282833,0.9914665367157172
523(2),1,0.005304277058673872,0.9946957229413261
523(2),2,0.007837806817490064,0.99216219318251
523(2),3,0.016035805167466444,0.9839641948325335
523(2),4,0.006796059205819147,0.993203940794181
523(2),5,0.010348338415025828,0.9896516615849741
523(2),6,0.014306172187479706,0.9856938278125204
523(2),7,0.006022322783931332,0.9939776772160687
523(2),8,0.011939994421794078,0.9880600055782058
523(2),9,0.012719939539961027,0.9872800604600389
523(2),10,0.0031631397149216294,0.9968368602850783
523(2),11,0.013564226999788728,0.9864357730002112
523(2),12,0.004487006313679853,0.9955129936863202
523(2),13,0.010573051938240614,0.9894269480617593
523(2),14,0.017425438442884727,0.9825745615571153
523(2),15,0.014007662894294209,0.9859923371057059
523(2),16,0.007916921280809503,0.9920830787191905
523(2),17,0.02141323507778852,0.9785867649222114
523(2),18,0.020820934946335447,0.9791790650536645
523(2),19,0.01213702051229474,0.9878629794877053
523(2),20,0.010318396652522049,0.9896816033474779
523(2),21,0.012200597504826072,0.987799402495174
523(2),22,0.00702876574083128,0.9929712342591688
523(2),23,0.010009466949038906,0.9899905330509611
523(2),24,0.007082139208198888,0.9929178607918011
524(2),1,0.006127046114358648,0.9938729538856415
524(2),2,0.8401543502950055,0.1598456497049945
524(2),3,0.007632910306160761,0.9923670896938392
524(2),4,0.027533721281160658,0.9724662787188394
524(2),5,0.05937917587896982,0.9406208241210302
524(2),6,0.011007480993980929,0.988992519006019
524(2),7,0.007024423358428618,0.9929755766415714
524(2),8,0.018099306613955517,0.9819006933860445
524(2),9,0.0343760780686478,0.9656239219313522
524(2),10,0.00421366820273073,0.9957863317972693
524(2),11,0.01854732729469058,0.9814526727053093
524(2),12,0.032026872929170086,0.9679731270708298
524(2),13,0.006027397888410278,0.9939726021115897
524(2),14,0.017290540276779058,0.9827094597232209
524(2),15,0.0075637345957287935,0.9924362654042712
524(2),16,0.008487972940281127,0.991512027059719
524(2),17,0.003887433891508564,0.9961125661084914
524(2),18,0.007092464493035843,0.9929075355069642
524(2),19,0.009534164534030946,0.990465835465969
524(2),20,0.028920522141771512,0.9710794778582285
524(2),21,0.010254088357182636,0.9897459116428174
524(2),22,0.012775143229468829,0.9872248567705312
524(2),23,0.01282105983713654,0.9871789401628634
524(2),24,0.03522381619832092,0.9647761838016791
526(2),1,0.00834610842874225,0.9916538915712577
526(2),2,0.012026003171779385,0.9879739968282206
526(2),3,0.003360323639613038,0.996639676360387
526(2),4,0.017831686605293676,0.9821683133947064
526(2),5,0.009158325949657839,0.9908416740503421
526(2),6,0.0029455542377347004,0.9970544457622654
526(2),7,0.004589293943123439,0.9954107060568766
526(2),8,0.00574229199365482,0.9942577080063452
526(2),9,0.009187533242268467,0.9908124667577316
526(2),10,0.003677693299238659,0.9963223067007614
526(2),11,0.004746642968382108,0.9952533570316179
526(2),12,0.009388334778668838,0.9906116652213312
526(2),13,0.0036712835485106284,0.9963287164514893
526(2),14,0.006258647386796719,0.9937413526132033
526(2),15,0.01333986806192919,0.9866601319380708
526(2),16,0.005490829868959358,0.9945091701310406
526(2),17,0.010508023731815813,0.9894919762681842
526(2),18,0.010985367622709657,0.9890146323772904
526(2),19,0.011863961568767312,0.9881360384312327
526(2),20,0.004469595365233207,0.9955304046347668
526(2),21,0.005771826106116584,0.9942281738938835
526(2),22,0.0091360103912592,0.9908639896087408
526(2),23,0.0035126353826329046,0.9964873646173671
526(2),24,0.004783863251154812,0.9952161367488451
527(2),1,0.015107409463775834,0.9848925905362241
527(2),2,0.005226370849146887,0.9947736291508531
527(2),3,0.0076519478582121854,0.9923480521417879
527(2),4,0.012464437945368535,0.9875355620546314
527(2),5,0.011121894865762502,0.9888781051342376
527(2),6,0.009769550830885283,0.9902304491691147
527(2),7,0.010090908789401505,0.9899090912105986
527(2),8,0.007076080694736327,0.9929239193052638
527(2),9,0.006894438128216497,0.9931055618717834
527(2),10,0.00377079054149028,0.9962292094585098
527(2),11,0.011485482081758817,0.9885145179182412
527(2),12,0.007769965104447544,0.9922300348955525
527(2),13,0.0027967841891796516,0.9972032158108204
527(2),14,0.008556499061824754,0.9914435009381752
527(2),15,0.004507655782862533,0.9954923442171374
527(2),16,0.016331576907936764,0.9836684230920633
527(2),17,0.008491145009929668,0.9915088549900704
527(2),18,0.011620843830029766,0.9883791561699702
527(2),19,0.005334361580018775,0.9946656384199812
527(2),20,0.006613649858656966,0.993386350141343
527(2),21,0.00944309212380161,0.9905569078761983
527(2),22,0.011729387695535914,0.988270612304464
527(2),23,0.018335972226400796,0.9816640277735992
527(2),24,0.01088491336475861,0.9891150866352413
529(2),1,0.005693537506074324,0.9943064624939257
529(2),2,0.006388491956918856,0.9936115080430812
529(2),3,0.002303693603884312,0.9976963063961157
529(2),4,0.004699991711440445,0.9953000082885596
529(2),5,0.012446650058972327,0.9875533499410276
529(2),6,0.013974577381035795,0.9860254226189642
529(2),7,0.008117445581619049,0.9918825544183809
529(2),8,0.015572950560471909,0.9844270494395281
529(2),9,0.03499669167793853,0.9650033083220614
529(2),10,0.011086688628255414,0.9889133113717445
529(2),11,0.015580447791117256,0.9844195522088828
529(2),12,0.01698581145424249,0.9830141885457576
529(2),13,0.010287628498222295,0.9897123715017777
529(2),14,0.00396691103220065,0.9960330889677994
529(2),15,0.0076652976403254755,0.9923347023596745
529(2),16,0.0061205285216556935,0.9938794714783443
529(2),17,0.006132168909201919,0.993867831090798
529(2),18,0.004953971370216773,0.9950460286297832
529(2),19,0.005203369598576007,0.994796630401424
529(2),20,0.009867326708660145,0.9901326732913398
529(2),21,0.004851031382792171,0.9951489686172078
529(2),22,0.012456989475268685,0.9875430105247313
529(2),23,0.010306810499220085,0.9896931895007799
529(2),24,0.012611150014402866,0.9873888499855971
530(2),1,0.3462180892581925,0.6537819107418074
530(2),2,0.024218749409015087,0.975781250590985
530(2),3,0.11076290256039752,0.8892370974396024
530(2),4,0.024148714840089614,0.9758512851599104
530(2),5,0.003384315282346942,0.9966156847176532
530(2),6,0.3554985389296518,0.6445014610703483
530(2),7,0.01294827127310051,0.9870517287268995
530(2),8,0.0019996358277718676,0.998000364172228
530(2),9,0.002890151413646,0.9971098485863539
530(2),10,0.0035639746859943344,0.9964360253140057
530(2),11,0.020253441355204464,0.9797465586447955
530(2),12,0.008624617751870237,0.9913753822481298
530(2),13,0.0023889535504486472,0.9976110464495515
