Sample,Slice#,Frac_511,Frac_535
513,11,0.0,1.0
513,12,0.9806906199777381,0.019309380022261992
513,13,0.0,1.0
513,14,0.020834821090256632,0.9791651789097434
513,15,0.9404576338843131,0.05954236611568691
513,16,0.002402176047610859,0.9975978239523892
513,17,0.0,1.0
513,18,0.9834518548419116,0.016548145158088383
513,19,0.9825250947104227,0.01747490528957731
513,20,0.9843810739502471,0.01561892604975291
513,21,0.9698941938923505,0.03010580610764948
513,22,1.0,0.0
513,23,0.0,1.0
513,24,0.07442633154608091,0.925573668453919
514,1,0.9803935919034495,0.019606408096550395
514,2,0.0,1.0
514,3,0.19277869734160666,0.8072213026583933
514,4,0.9913777594000603,0.008622240599939596
514,5,0.9863935851910104,0.013606414808989527
514,6,0.43647221530260555,0.5635277846973945
514,7,0.01980315359901452,0.9801968464009855
514,8,0.15838165075651106,0.841618349243489
514,9,0.3816598306084328,0.6183401693915672
514,10,0.002375724604208909,0.9976242753957911
514,11,0.47250547425227646,0.5274945257477236
514,12,0.6843494136245412,0.31565058637545884
514,13,0.9651122162886095,0.034887783711390466
514,14,0.36275866517587824,0.6372413348241218
514,15,0.9794290017088642,0.020570998291135793
514,16,0.0,1.0
514,17,0.9766351176012872,0.023364882398712702
514,18,0.029510226786772613,0.9704897732132274
514,19,0.0,1.0
514,20,0.0,1.0
514,21,0.9922341597995694,0.007765840200430635
514,22,0.0009078805596225428,0.9990921194403775
514,23,0.9850573295682764,0.014942670431723622
514,24,0.5173280193196668,0.4826719806803333
515,1,0.15209448497129638,0.8479055150287036
515,2,0.973832592798724,0.026167407201275958
515,3,0.002670663027304613,0.9973293369726954
515,4,0.03751527616364223,0.9624847238363577
515,5,0.00431061862668697,0.9956893813733131
515,6,0.9367865259417885,0.06321347405821158
515,7,0.004285504524392947,0.9957144954756071
515,8,0.9555533279916644,0.04444667200833569
515,9,0.0,1.0
515,10,0.9612958619645862,0.03870413803541382
515,11,0.040220150689808415,0.9597798493101917
515,12,0.9618121389581054,0.038187861041894644
515,13,0.9088139156320012,0.09118608436799885
515,14,0.0013570693468045114,0.9986429306531954
515,15,0.738566160577918,0.2614338394220819
515,16,0.9625334677444186,0.0374665322555814
515,17,0.9714540842574098,0.028545915742590224
515,18,0.9742481645882596,0.025751835411740354
515,19,0.6942814612885975,0.3057185387114024
515,20,0.9653480421673127,0.03465195783268732
515,21,0.060840142578290624,0.9391598574217094
515,22,0.05524992123517562,0.9447500787648244
515,23,0.9713087018052637,0.028691298194736207
515,24,0.03412665433659979,0.9658733456634001
516,1,0.0,1.0
516,2,0.06199886702197059,0.9380011329780293
516,3,0.00836273902213161,0.9916372609778684
516,4,0.02054944254388593,0.9794505574561141
516,5,0.042563702990677445,0.9574362970093225
516,6,0.0,1.0
516,7,0.012068064360360583,0.9879319356396394
516,8,0.019044371146989234,0.9809556288530107
516,9,0.014174068533700299,0.9858259314662997
516,10,0.968536596970888,0.03146340302911201
516,11,0.0,1.0
516,12,0.40957788059834166,0.5904221194016585
516,13,0.0,1.0
516,14,0.0,1.0
516,15,0.05406026774738586,0.9459397322526142
516,16,0.01876866382269924,0.9812313361773007
516,17,0.0,1.0
516,18,0.03525912027458198,0.964740879725418
516,19,0.019522089006614316,0.9804779109933857
516,20,0.3701430113603532,0.6298569886396468
516,21,0.03664863281358042,0.9633513671864197
516,22,0.03002944189261105,0.969970558107389
516,23,1.0,0.0
516,24,0.9798005689866535,0.020199431013346612
517,1,0.004604903662420153,0.9953950963375798
517,2,0.06980770597121733,0.9301922940287827
517,3,0.033373172541218736,0.9666268274587813
517,4,0.016739381801931057,0.983260618198069
517,5,0.002459010251084466,0.9975409897489156
517,6,0.0,1.0
517,7,0.10362921777439334,0.8963707822256066
517,8,0.0,1.0
517,9,0.0,1.0
517,10,0.5945187961971873,0.40548120380281266
517,11,0.006716672207387427,0.9932833277926125
517,12,0.3602709353741482,0.6397290646258519
517,13,0.0,1.0
517,14,0.4245741082848397,0.5754258917151603
517,15,0.9819255695973725,0.018074430402627552
517,16,0.009697555321583461,0.9903024446784165
517,17,0.46311209490770483,0.5368879050922951
517,18,0.005771448788406274,0.9942285512115938
517,19,0.005216906333957859,0.9947830936660422
517,20,0.41569588961695697,0.5843041103830431
517,21,0.021332338796084843,0.9786676612039151
517,22,0.9199972034842608,0.0800027965157391
517,23,0.0046803572854736755,0.9953196427145263
517,24,0.15128519693032114,0.8487148030696788
518,1,0.990882709719797,0.009117290280203047
518,2,0.0,1.0
518,3,0.012010352596030557,0.9879896474039694
518,4,0.0,1.0
518,5,0.1260418674405105,0.8739581325594895
518,6,0.18947537438217066,0.8105246256178293
518,7,0.9880413831247777,0.011958616875222325
518,8,0.6642141711061498,0.33578582889385017
518,9,0.9010011247379973,0.09899887526200261
518,10,0.0063687451419410035,0.993631254858059
518,11,0.0,1.0
518,12,0.008135193037053692,0.9918648069629463
518,13,0.9952167160377107,0.004783283962289344
518,14,0.0,1.0
518,15,0.9919235414185573,0.008076458581442687
518,16,0.003478154814094137,0.9965218451859058
518,17,0.2995364475798416,0.7004635524201585
518,18,0.24085776376667792,0.7591422362333221
518,19,0.9910437296056197,0.008956270394380269
518,20,0.4640776930275118,0.5359223069724881
518,21,0.0008160500780399809,0.99918394992196
518,22,0.006812108082345841,0.9931878919176542
518,23,0.010578229193723945,0.989421770806276
518,24,0.0021968401103847897,0.9978031598896152
522(2),1,0.0045755783770636,0.9954244216229364
522(2),2,0.00883706527325219,0.9911629347267478
522(2),3,0.00875778332244869,0.9912422166775513
522(2),4,0.0005262931744518628,0.9994737068255481
522(2),5,0.0035803784983477064,0.9964196215016523
522(2),6,0.009807546731549932,0.9901924532684502
522(2),7,0.004110623664598376,0.9958893763354016
522(2),8,0.0024374702936524805,0.9975625297063475
522(2),9,0.005894257870323663,0.9941057421296764
522(2),10,0.003214313866536055,0.996785686133464
522(2),11,0.0,1.0
